"","year","SST.cur.median","SST.cur.mean","SST.last.median","SST.last.mean","SST.sum.median","SST.sum.mean","aug","may"
"1",1998,10.7481025552666,10.3611987744495,NA,NA,NA,NA,15.79698451,13.0927738
"2",1999,10.6381450827653,10.4525979876663,14.3348327559334,13.981538437279,24.9729778386987,24.4341364249453,18.00893078,14.23888029
"3",2000,12.838240889158,12.467746097637,15.7006450827653,15.4694279876663,28.5388859719233,27.9371740853033,17.03547134,18.10798781
"4",2001,11.6366154599277,11.0600845272527,18.838240889158,18.372966097637,30.4748563490857,29.4330506248897,17.02284464,16.68827087
"5",2002,12.2004115065815,12.0972361445082,15.8245658202159,15.2835120692863,28.0249773267974,27.3807482137945,16.56190222,14.97762686
"6",2003,9.70583683963835,9.35889812841043,17.5129115065815,17.4197511445082,27.2187483462199,26.7786492729186,16.51137966,14.90782092
"7",2004,9.47730735742272,8.78846711580322,13.4567130663558,12.9539011526444,22.9340204237785,21.7423682684476,15.18353305,14.49101236
"8",2005,9.93322449243502,9.78367200881835,13.1648073574227,12.3845171158032,23.0980318498577,22.1681891246216,14.24017408,13.28074878
"9",2006,11.939365954779,11.8297686616022,13.245724492435,13.0430770088183,25.185090447214,24.8728456704206,14.93218423,15.27998917
"10",2007,9.57907813808015,9.01234785455052,16.064365954779,15.9309036616022,25.6434440928591,24.9432515161527,16.64512026,15.53221001
"11",2008,10.6875,10.65319,13.8290781380801,13.1654078545505,24.5165781380801,23.8185978545505,15.07773364,15.41811721
"12",2009,10.1052999097167,9.78202429071211,14.9375,14.82,25.0427999097167,24.6020242907121,14.64115603,13.30286432
"13",2010,9.18358987134748,9.03625759703482,14.4177999097167,13.9422292907121,23.6013897810642,22.9784868877469,13.71411191,12.24463784
"14",2011,12.0617232140642,12.2036727745574,14.4335898713475,14.2593925970348,26.4953130854117,26.4630653715922,13.89209534,14.14455825
"15",2012,15.0657315229855,14.874758331596,16.3742232140642,16.4179327745574,31.4399547370497,31.2926911061533,15.97726632,15.94197583
"16",2013,12.8665112507602,12.6091877751875,20.8782315229855,20.674528331596,33.7447427737457,33.2837161067835,17.65747982,16.42010734
"17",2014,11.7877781041686,11.4807121984751,19.1033980239492,18.8983888426233,30.8911761281178,30.3791010410984,16.91477998,18.42258714
"18",2015,13.135414010473,12.5197072833781,16.7877781041686,16.2557721984751,29.9231921146417,28.7754794818532,16.31219001,NA
"19",2016,13.5625,13.435105,17.447914010473,16.7590322833781,31.010414010473,30.1941372833781,16.08811114,17.11201305
"20",2017,12.6141388872586,12.2155795768531,19.5625,19.30784,32.1766388872586,31.5234195768531,17.05584435,17.28210123
"21",2018,13.0526740334647,13.0923248803609,17.3016388872586,16.6829195768531,30.3543129207233,29.775244457214,16.36234331,15.11410593
"22",2019,9.21438988546432,8.96234925945118,19.5139570151979,19.4803445703788,28.7283469006622,28.4426938298299,18.32322101,19.42831878
"23",2020,12.2107694720685,12.0291741049123,12.7768898854643,12.3173492594512,24.9876593575328,24.3465233643635,NA,NA
"24",2021,13.9034154481343,13.8422157898104,17.4607694720685,17.1607291049123,31.3641849202028,31.0029448947228,18.43368,20.15892275
"25",2022,14.6605483053234,14.0588655328138,18.0473230111595,17.8992389830878,32.7078713164829,31.9581045159016,NA,NA
