"","IML_wgt_mn","IML_wgt_sd","monthID","date","year","month"
"76",10.6586402266289,0.696317280453258,"1991jun",1991-06-01,1991,6
"77",3.82635914332784,0.49332784184514,"1991mar",1991-03-01,1991,3
"78",6.21975096607986,0.395319879776728,"1991may",1991-05-01,1991,5
"79",10.2697149643705,0.558610451306413,"1991nov",1991-11-01,1991,11
"80",14.3230904611052,0.394473776839141,"1991oct",1991-10-01,1991,10
"81",15.7632119914347,0.458115631691649,"1991sep",1991-09-01,1991,9
"82",3.15685449957948,0.674684608915055,"1992apr",1992-04-01,1992,4
"83",15.8399876771411,1.06167590881084,"1992aug",1992-08-01,1992,8
"84",7.18207547169811,0.479874213836478,"1992dec",1992-12-01,1992,12
"85",3.73013698630137,0.584931506849315,"1992feb",1992-02-01,1992,2
"86",5.65112612612613,0.688063063063063,"1992jan",1992-01-01,1992,1
"87",12.8670588235294,0.775038363171356,"1992jul",1992-07-01,1992,7
"88",9.54199517296862,0.746098149637972,"1992jun",1992-06-01,1992,6
"89",2.95702005730659,0.710028653295129,"1992mar",1992-03-01,1992,3
"90",5.78707274320771,0.633216476774759,"1992may",1992-05-01,1992,5
"91",9.44765291607397,0.614224751066856,"1992nov",1992-11-01,1992,11
"92",12.651452432825,0.522113289760349,"1992oct",1992-10-01,1992,10
"93",15.5371217712177,0.450590405904059,"1992sep",1992-09-01,1992,9
"94",4.26794802382241,0.560693015701137,"1993apr",1993-04-01,1993,4
"95",16.5693989071038,1.12369859073914,"1993aug",1993-08-01,1993,8
"96",8.68080393765382,0.560295324036095,"1993dec",1993-12-01,1993,12
"97",4.00659163987138,0.77588424437299,"1993feb",1993-02-01,1993,2
"98",4.91746248294679,0.533969986357435,"1993jan",1993-01-01,1993,1
"99",14.3892908309456,0.748137535816619,"1993jul",1993-07-01,1993,7
"100",9.47054085155351,0.530341388569237,"1993jun",1993-06-01,1993,6
"101",3.48504792332268,0.652523961661342,"1993mar",1993-03-01,1993,3
"102",6.14782608695652,0.545427286356821,"1993may",1993-05-01,1993,5
"103",10.9919489981785,0.540182149362477,"1993nov",1993-11-01,1993,11
"104",14.4435233160622,0.578941524796447,"1993oct",1993-10-01,1993,10
"105",16.894003868472,0.765473887814313,"1993sep",1993-09-01,1993,9
"106",6.18126731301939,0.367970914127424,"1994apr",1994-04-01,1994,4
"107",18.0470636550308,1.22386036960986,"1994aug",1994-08-01,1994,8
"108",9.47768595041322,0.706473829201102,"1994dec",1994-12-01,1994,12
"109",5.23630006357279,0.532549268912905,"1994feb",1994-02-01,1994,2
"110",6.58213399503722,0.537220843672457,"1994jan",1994-01-01,1994,1
"111",18.0716586852416,1.07131040487592,"1994jul",1994-07-01,1994,7
"112",12.0287257019438,0.891576673866091,"1994jun",1994-06-01,1994,6
"113",4.66727272727273,0.524121212121212,"1994mar",1994-03-01,1994,3
"114",8.13426067073171,0.424580792682927,"1994may",1994-05-01,1994,5
"115",12.1513862514242,0.406038739080896,"1994nov",1994-11-01,1994,11
"116",13.8171510437986,0.380679492427343,"1994oct",1994-10-01,1994,10
"117",15.4733860891295,0.443606830487297,"1994sep",1994-09-01,1994,9
"118",5.0075634057971,0.475634057971014,"1995apr",1995-04-01,1995,4
"119",16.7791920731707,1.18653455284553,"1995aug",1995-08-01,1995,8
"120",9.68992042440318,0.781432360742706,"1995dec",1995-12-01,1995,12
"121",5.21674008810573,0.72147577092511,"1995feb",1995-02-01,1995,2
"122",7.65090909090909,0.55444976076555,"1995jan",1995-01-01,1995,1
"123",14.610767551837,1.11520552928338,"1995jul",1995-07-01,1995,7
"124",10.325721592985,0.677274388016076,"1995jun",1995-06-01,1995,6
"125",4.7307599517491,0.792038600723764,"1995mar",1995-03-01,1995,3
"126",6.98007982583454,0.432075471698113,"1995may",1995-05-01,1995,5
"127",12.1751677852349,0.623541559112029,"1995nov",1995-11-01,1995,11
"128",15.0526025508445,0.357876594277835,"1995oct",1995-10-01,1995,10
"129",16.2314542190305,0.423770197486535,"1995sep",1995-09-01,1995,9
