"","GBS_weighted_mean","GBS_weighted_median","GBS_weighted_min","GBS_weighted_max","GBS_weighted_Std_dev","monthID","date","year","month"
"54",18.15672,18.0625,14.875,22.8125,1.24729,"2002aug",2002-08-01,2002,8
"55",8.1036416093594,8.14251319731773,6.57085532886289,9.39411827650164,0.472333974889428,"2002dec",2002-12-01,2002,12
"56",5.56395154878568,5.62979335321687,2.68030997017469,6.81010332339156,0.465560688112484,"2002feb",2002-02-01,2002,2
"57",6.53328459572248,6.57061815336463,2.8420057381325,7.56520605112154,0.488839707876891,"2002jan",2002-01-01,2002,1
"58",15.835885,15.75,13.0625,19.375,1.039765,"2002jul",2002-07-01,2002,7
"59",10.0048818211684,10.0358163119554,6.32073989430081,12.4826274817883,0.880840514212255,"2002jun",2002-06-01,2002,6
"60",5.322515,5.3125,3.3125,6.25,0.54282,"2002mar",2002-03-01,2002,3
"61",7.694005,7.625,6.5,9.4375,0.5187,"2002may",2002-05-01,2002,5
"62",11.0739188923484,11.0994784774656,5.47690122207519,13.6352455826263,0.944178969409201,"2002nov",2002-11-01,2002,11
"63",14.7868721252785,14.7907427076317,11.9474314802342,16.75,0.590912826278431,"2002oct",2002-10-01,2002,10
"64",17.224435,17.3125,15.5,18.75,0.621785,"2002sep",2002-09-01,2002,9
"65",4.58665,4.5625,2.75,5.9375,0.48771,"2003apr",2003-04-01,2003,4
"66",18.06161,18.375,14.4375,20.0625,1.033265,"2003aug",2003-08-01,2003,8
"67",8.43336789487544,8.38748222468004,6.11166192658134,9.91997155948807,0.565129779322694,"2003dec",2003-12-01,2003,12
"68",3.68075674409291,3.74939927913496,1.75180216259511,4.95783273261247,0.561894290481912,"2003feb",2003-02-01,2003,2
"69",5.67814138431752,5.95643756050339,3.97071636011617,6.69143272023233,0.653497947725073,"2003jan",2003-01-01,2003,1
"70",15.4572,15.75,11.4375,18.75,1.453185,"2003jul",2003-07-01,2003,7
"71",9.049665,9.0625,7.5,12.625,0.793675,"2003jun",2003-06-01,2003,6
"72",3.59500302423393,3.7508762267174,0.37710294412177,5.81276286801522,0.843534370118165,"2003mar",2003-03-01,2003,3
"73",6.255415,6.1875,4.0625,8.875,0.833325,"2003may",2003-05-01,2003,5
"74",10.3495910669395,10.2884390529085,7.74039023677287,12.2211341712949,0.677440570008769,"2003nov",2003-11-01,2003,11
"75",14.079355,14,12.5,16.625,0.601655,"2003oct",2003-10-01,2003,10
"76",16.36725,16.4375,13.0625,19.3125,1.00974,"2003sep",2003-09-01,2003,9
"77",3.77417336885885,4.01988562516246,1.14452820379516,4.82989992201716,0.64433847413569,"2004apr",2004-04-01,2004,4
"78",15.6005,15.75,12.75,17.375,0.89381,"2004aug",2004-08-01,2004,8
"79",7.804875,7.8125,6,9.4375,0.443635,"2004dec",2004-12-01,2004,12
"80",3.625255,3.625,2.25,4.5625,0.381065,"2004feb",2004-02-01,2004,2
"81",5.16321211580322,5.85230735742272,0.68959512407488,6.86068785372225,1.47037061819765,"2004jan",2004-01-01,2004,1
"82",13.8724115831968,13.8577843435525,7.69145652937047,17.5702521647554,1.90610870465715,"2004jul",2004-07-01,2004,7
"83",9.099255,9.125,7.3125,11.1875,0.61957,"2004jun",2004-06-01,2004,6
"84",3.59605,3.6875,2.0625,4.3125,0.41195,"2004mar",2004-03-01,2004,3
"85",6.799535,6.75,4.9375,8.5625,0.584035,"2004may",2004-05-01,2004,5
"86",9.638805,9.6875,7.25,11.1875,0.553635,"2004nov",2004-11-01,2004,11
"87",12.866235,12.75,11.125,14.1875,0.519635,"2004oct",2004-10-01,2004,10
"88",14.959005,14.9375,13.3125,16.875,0.57165,"2004sep",2004-09-01,2004,9
"89",4.468965,4.5,3.6875,5.0625,0.198675,"2005apr",2005-04-01,2005,4
"90",16.457425,16.625,12.5625,19.5625,0.9439,"2005aug",2005-08-01,2005,8
"91",7.22692014204288,7.29171944268524,4.79156111462951,8.31553650592599,0.537474066769203,"2005dec",2005-12-01,2005,12
"92",3.93608524376051,3.93322449243502,1.83733673865253,5.85342040605198,0.565598508987456,"2005feb",2005-02-01,2005,2
"93",5.84758676505784,6,4.24790586358197,6.99860390905465,0.616390865576386,"2005jan",2005-01-01,2005,1
"94",14.3576998360656,14.5977369921597,10.2030173437871,18.6015086718936,1.18985660489427,"2005jul",2005-07-01,2005,7
"95",8.284845,8.4375,5.1875,11.25,1.162265,"2005jun",2005-06-01,2005,6
"96",3.259405,3.3125,1.8125,4,0.37126,"2005mar",2005-03-01,2005,3
"97",6.02796,5.9375,2.875,7.9375,0.599445,"2005may",2005-05-01,2005,5
"98",10.15873,10.125,8.875,11.5,0.386605,"2005nov",2005-11-01,2005,11
"99",14.47827,14.5,12.4375,16.25,0.489155,"2005oct",2005-10-01,2005,10
"100",16.280095,16.3125,13.75,18,0.653595,"2005sep",2005-09-01,2005,9
"101",5.405425,5.4375,4.375,6.125,0.26712,"2006apr",2006-04-01,2006,4
"102",17.066415,17.125,14.875,18.5,0.48404,"2006aug",2006-08-01,2006,8
"103",9.31156,9.4375,7.0625,10.9375,0.54261,"2006dec",2006-12-01,2006,12
"104",5.36853873982514,5.37561551602854,3.31280775801427,6.87376896794292,0.49989451311426,"2006feb",2006-02-01,2006,2
